,Micro F1,Macro F1,Weighted F1,Macro Precision,Macro Recall,F1 of classes,Experiment,Origin,Noise,Denoised,Sentiments distribution,Noise sources distribution
0,0.675,0.5910503799458544,0.6644173909532946,0.6113838246509598,0.5869810348970624,"[0.386, 0.486, 0.745, 0.746]",1,2000,0,-,"[9.4%, 18.3%, 50.2%, 22.1%]",-
0,0.709,0.6491863819923142,0.7052439980431662,0.6486816982326635,0.6551599947669259,"[0.52, 0.519, 0.772, 0.786]",2,4000,0,-,"[9.4%, 18.3%, 50.2%, 22.1%]",-
0,0.7075,0.6356379241327192,0.6991760108008638,0.668167627664999,0.6470260471872118,"[0.507, 0.464, 0.781, 0.79]",3,5000,0,-,"[9.4%, 18.3%, 50.2%, 22.1%]",-
0,0.73075,0.6605897534890439,0.7185895747222483,0.6954595510237794,0.6537470663961139,"[0.561, 0.487, 0.798, 0.796]",4,8000,0,-,"[9.4%, 18.3%, 50.2%, 22.1%]",-
